,train_accuracy,val_accuracy,test_accuracy,area_under_curve,precision,recall,F1,sparsity_score,hidden_layers
0,0.6865000128746033,0.4143750071525574,0.784500002861023,0.6949293703316691,0.4583333333333333,0.3530864197530864,0.3988842398884239,1.2273,[16]
1,0.8420000076293945,0.7925000190734863,0.7960000038146973,0.6951445489376523,0.49514563106796117,0.37777777777777777,0.42857142857142855,0.6136,"[8, 4, 2]"
2,0.7962499856948853,0.4650000035762787,0.7979999780654907,0.7014303959131546,0.5017921146953405,0.345679012345679,0.4093567251461988,1.9545,[32]
3,0.7637500166893005,0.45625001192092896,0.7705000042915344,0.6771368861024034,0.42702702702702705,0.39012345679012345,0.407741935483871,1.3409,"[24, 12, 6, 3]"
4,0.746874988079071,0.5975000262260437,0.7674999833106995,0.6970060760865359,0.42822966507177035,0.4419753086419753,0.4349939246658567,0.8523,"[16, 4]"
5,0.8896250128746033,0.6731250286102295,0.8015000224113464,0.7172460234529201,0.5178571428571429,0.28641975308641976,0.36883942766295713,0.4261,[8]
6,0.8261250257492065,0.6806250214576721,0.7620000243186951,0.6876612872015171,0.4087403598971722,0.3925925925925926,0.40050377833753154,2.6818,[48]
7,0.778124988079071,0.7475000023841858,0.796500027179718,0.48609001896358217,0.0,0.0,0.0,2.0682,"[40, 20, 10, 5, 2]"
8,0.8209999799728394,0.6737499833106995,0.7879999876022339,0.6975486667440691,0.4730878186968839,0.4123456790123457,0.4406332453825858,1.5795,"[32, 8, 2]"
9,0.8046249747276306,0.515625,0.7735000252723694,0.6775610511242695,0.4298245614035088,0.362962962962963,0.39357429718875503,1.1534,"[24, 3]"
10,0.731374979019165,0.4962500035762787,0.7584999799728394,0.7138519292542281,0.4177215189873418,0.4888888888888889,0.4505119453924914,0.7585,[16]
11,0.8831250071525574,0.6131250262260437,0.7764999866485596,0.7009497271566237,0.4485294117647059,0.45185185185185184,0.45018450184501846,0.3793,[8]
12,0.6497499942779541,0.4749999940395355,0.7350000143051147,0.6851108789039824,0.38656987295825773,0.5259259259259259,0.4456066945606695,3.4091,[64]
13,0.7940000295639038,0.7868750095367432,0.7975000143051147,0.5075552459460505,0.0,0.0,0.0,2.7955,"[56, 28, 14, 7, 3]"
14,0.8176249861717224,0.7825000286102295,0.8130000233650208,0.6489345562908783,0.6867469879518072,0.14074074074074075,0.2336065573770492,2.3068,"[48, 12, 3]"
15,0.7664999961853027,0.6462500095367432,0.8169999718666077,0.6926289717094316,0.696969696969697,0.17037037037037037,0.2738095238095238,1.8807,"[40, 5]"
16,0.6154999732971191,0.36625000834465027,0.7979999780654907,0.7096334997484423,0.50199203187251,0.3111111111111111,0.38414634146341464,1.4858,"[32, 2]"
17,0.8428750038146973,0.768750011920929,0.8130000233650208,0.7007260342892526,0.6371681415929203,0.17777777777777778,0.277992277992278,1.1065,[24]
18,0.5851250290870667,0.2731249928474426,0.6809999942779541,0.6811347188358683,0.33428165007112376,0.5802469135802469,0.424187725631769,3.0341,"[64, 16, 4]"
19,0.6548749804496765,0.39125001430511475,0.7384999990463257,0.6962274081814313,0.3935018050541516,0.5382716049382716,0.4546402502606882,2.608,"[56, 7]"
20,0.49900001287460327,0.23375000059604645,0.6370000243186951,0.6705801308100159,0.30209617755856966,0.6049382716049383,0.40296052631578944,2.2131,"[48, 3]"
21,0.8652499914169312,0.7381250262260437,0.8069999814033508,0.6981183482332908,0.5482233502538071,0.26666666666666666,0.3588039867109634,1.8338,[40]
22,0.840749979019165,0.7437499761581421,0.7990000247955322,0.6688919849839391,0.5076923076923077,0.24444444444444444,0.32999999999999996,2.9403,"[64, 4]"
23,0.7821249961853027,0.5093749761581421,0.7774999737739563,0.697571887456945,0.4519230769230769,0.4641975308641975,0.4579780755176614,2.5611,[56]
