,train_accuracy,val_accuracy,test_accuracy,area_under_curve,precision,recall,F1,sparsity_score,hidden_layers
0,0.7771250009536743,0.6637499928474426,0.7940000295639038,0.7713518325012578,0.48484848484848486,0.2765432098765432,0.3522012578616352,1.1534,"[24, 3]"
0,0.6933749914169312,0.559374988079071,0.7919999957084656,0.5117380703587602,0.2608695652173913,0.014814814814814815,0.02803738317757009,2.0682,"[40, 20, 10, 5, 2]"
0,0.6742500066757202,0.5218750238418579,0.7020000219345093,0.7278021595262976,0.36643356643356645,0.6469135802469136,0.46785714285714286,1.5795,"[32, 8, 2]"
0,0.6793749928474426,0.359375,0.6520000100135803,0.7578141568946166,0.34098360655737703,0.7703703703703704,0.4727272727272727,2.6818,[48]
0,0.7827500104904175,0.5637500286102295,0.75,0.7421014745152675,0.424483306836248,0.6592592592592592,0.5164410058027079,0.3793,[8]
0,0.8550000190734863,0.7093750238418579,0.7509999871253967,0.7567816091954024,0.4246353322528363,0.6469135802469136,0.512720156555773,0.7585,[16]
0,0.8346250057220459,0.6143749952316284,0.7645000219345093,0.7731831727234026,0.4434931506849315,0.6395061728395062,0.5237613751263903,0.4261,[8]
0,0.7003750205039978,0.45625001192092896,0.6589999794960022,0.7425086110143582,0.3445566778900112,0.7580246913580246,0.47376543209876537,1.1065,[24]
0,0.7960000038146973,0.796875,0.7975000143051147,0.7641472193196331,0,0.0,0,1.3409,"[24, 12, 6, 3]"
0,0.6778749823570251,0.39500001072883606,0.8059999942779541,0.7803893339525523,0.5259938837920489,0.4246913580246914,0.46994535519125685,0.8523,"[16, 4]"
0,0.7417500019073486,0.45750001072883606,0.7839999794960022,0.7705375595030767,0.47305389221556887,0.5851851851851851,0.5231788079470199,1.9545,[32]
0,0.6676250100135803,0.5493749976158142,0.7900000214576721,0.4967560664112388,0.2727272727272727,0.022222222222222223,0.04109589041095891,2.3068,"[48, 12, 3]"
0,0.7774999737739563,0.6962500214576721,0.7764999866485596,0.7666581524052788,0.4578313253012048,0.562962962962963,0.5049833887043189,1.8807,"[40, 5]"
0,0.534250020980835,0.4206250011920929,0.7699999809265137,0.490176864429738,0.16049382716049382,0.03209876543209877,0.053497942386831275,1.4858,"[32, 2]"
