,train_accuracy,val_accuracy,test_accuracy,area_under_curve,precision,recall,F1,sparsity_score,hidden_layers
0,0.8166189193725586,0.7904762029647827,0.7633587718009949,0.8254178436911487,0.8414634146341463,0.5847457627118644,0.69,0.8636,[8]
1,0.8061127066612244,0.7523809671401978,0.767175555229187,0.8285369585687382,0.8064516129032258,0.635593220338983,0.7109004739336493,1.2273,[16]
2,0.8127985000610352,0.7714285850524902,0.7595419883728027,0.8310675612052731,0.8021978021978022,0.6186440677966102,0.6985645933014355,1.5909,[24]
3,0.8089780211448669,0.761904776096344,0.7633587718009949,0.8257709510357815,0.8043478260869565,0.6271186440677966,0.7047619047619047,1.9545,[32]
4,0.820439338684082,0.7857142686843872,0.767175555229187,0.8368349811676082,0.8352941176470589,0.6016949152542372,0.6995073891625616,2.3182,[40]
5,0.8175740242004395,0.7809523940086365,0.7633587718009949,0.8452507062146892,0.8333333333333334,0.5932203389830508,0.6930693069306931,2.6818,[48]
6,0.8156638145446777,0.7809523940086365,0.7557252049446106,0.8350105932203391,0.8292682926829268,0.576271186440678,0.6799999999999999,3.0455,[56]
7,0.8118433356285095,0.7666666507720947,0.7633587718009949,0.8209157250470811,0.8111111111111111,0.6186440677966102,0.7019230769230771,3.4091,[64]
8,0.8051576018333435,0.738095223903656,0.7633587718009949,0.83642302259887,0.8043478260869565,0.6271186440677966,0.7047619047619047,0.6136,"[8, 4, 2]"
9,0.8175740242004395,0.7857142686843872,0.7595419883728027,0.7833097928436911,0.8767123287671232,0.5423728813559322,0.6701570680628273,0.9773,"[16, 8, 4, 2]"
10,0.8242598176002502,0.7666666507720947,0.7633587718009949,0.832715395480226,0.8333333333333334,0.5932203389830508,0.6930693069306931,1.3409,"[24, 12, 6, 3]"
11,0.8175740242004395,0.7571428418159485,0.7862595319747925,0.8237405838041432,0.8297872340425532,0.6610169491525424,0.7358490566037736,1.7045,"[32, 16, 8, 4, 2]"
12,0.8185291290283203,0.7714285850524902,0.7519084215164185,0.821239406779661,0.8732394366197183,0.5254237288135594,0.656084656084656,2.0682,"[40, 20, 10, 5, 2]"
13,0.8280802369117737,0.7857142686843872,0.767175555229187,0.7981991525423728,0.88,0.559322033898305,0.6839378238341969,2.4318,"[48, 24, 12, 6, 3]"
14,0.8290353417396545,0.7809523940086365,0.7633587718009949,0.8483992467043314,0.8783783783783784,0.5508474576271186,0.6770833333333334,2.7955,"[56, 28, 14, 7, 3]"
15,0.8242598176002502,0.761904776096344,0.7862595319747925,0.8161782015065913,0.8229166666666666,0.6694915254237288,0.7383177570093459,3.1591,"[64, 32, 16, 8, 4, 2]"
16,0.7851002812385559,0.7190476059913635,0.7404580116271973,0.8294197269303203,0.7976190476190477,0.5677966101694916,0.6633663366336634,0.4886,"[8, 2]"
17,0.8127985000610352,0.7714285850524902,0.767175555229187,0.8272422316384181,0.8275862068965517,0.6101694915254238,0.702439024390244,0.8523,"[16, 4]"
18,0.8166189193725586,0.7571428418159485,0.7786259651184082,0.8211217043314502,0.8333333333333334,0.635593220338983,0.7211538461538461,1.2159,"[24, 6]"
19,0.8233046531677246,0.776190459728241,0.7557252049446106,0.830537900188324,0.875,0.5338983050847458,0.6631578947368422,1.5795,"[32, 8, 2]"
20,0.8089780211448669,0.7714285850524902,0.767175555229187,0.8210334274952918,0.8202247191011236,0.6186440677966102,0.7053140096618358,1.9432,"[40, 10, 2]"
21,0.820439338684082,0.761904776096344,0.7633587718009949,0.828330979284369,0.8043478260869565,0.6271186440677966,0.7047619047619047,2.3068,"[48, 12, 3]"
22,0.8290353417396545,0.7904762029647827,0.7786259651184082,0.8435734463276836,0.8260869565217391,0.6440677966101694,0.7238095238095238,2.6705,"[56, 14, 3]"
23,0.8223495483398438,0.7571428418159485,0.7824427485466003,0.8368938323917138,0.8351648351648352,0.6440677966101694,0.7272727272727273,3.0341,"[64, 16, 4]"
24,0.8061127066612244,0.7523809671401978,0.7633587718009949,0.8349223163841808,0.8181818181818182,0.6101694915254238,0.6990291262135923,0.4261,[8]
25,0.8127985000610352,0.776190459728241,0.7519084215164185,0.8118820621468927,0.8732394366197183,0.5254237288135594,0.656084656084656,0.7898,"[16, 2]"
26,0.8156638145446777,0.761904776096344,0.767175555229187,0.8357168079096045,0.8202247191011236,0.6186440677966102,0.7053140096618358,1.1534,"[24, 3]"
27,0.8166189193725586,0.7571428418159485,0.767175555229187,0.8390713276836159,0.8131868131868132,0.6271186440677966,0.7081339712918661,1.517,"[32, 4]"
28,0.8194842338562012,0.7714285850524902,0.7824427485466003,0.8248881826741995,0.8279569892473119,0.652542372881356,0.7298578199052134,1.8807,"[40, 5]"
29,0.8223495483398438,0.7857142686843872,0.7595419883728027,0.8300082391713748,0.8481012658227848,0.5677966101694916,0.6802030456852792,2.2443,"[48, 6]"
30,0.8290353417396545,0.7857142686843872,0.767175555229187,0.8189147834274952,0.88,0.559322033898305,0.6839378238341969,2.608,"[56, 7]"
31,0.8290353417396545,0.7809523940086365,0.7519084215164185,0.838835922787194,0.8732394366197183,0.5254237288135594,0.656084656084656,2.9716,"[64, 8]"
32,0.7860553860664368,0.7285714149475098,0.7595419883728027,0.8222987288135594,0.7835051546391752,0.6440677966101694,0.7069767441860464,0.3949,[8]
33,0.8089780211448669,0.7523809671401978,0.7748091816902161,0.8432203389830508,0.8241758241758241,0.635593220338983,0.7177033492822967,0.7585,[16]
34,0.813753604888916,0.7809523940086365,0.7480915784835815,0.8355991054613936,0.8714285714285714,0.5169491525423728,0.648936170212766,1.1222,[24]
35,0.820439338684082,0.7809523940086365,0.7480915784835815,0.7926082862523541,0.8513513513513513,0.5338983050847458,0.6562500000000001,1.4858,"[32, 2]"
36,0.826170027256012,0.7809523940086365,0.7633587718009949,0.7987876647834274,0.85,0.576271186440678,0.686868686868687,1.8494,"[40, 2]"
37,0.8242598176002502,0.7904762029647827,0.7633587718009949,0.8006120527306967,0.8783783783783784,0.5508474576271186,0.6770833333333334,2.2131,"[48, 3]"
38,0.8118433356285095,0.7571428418159485,0.7557252049446106,0.8233286252354048,0.8214285714285714,0.5847457627118644,0.6831683168316832,2.5767,"[56, 3]"
39,0.8118433356285095,0.761904776096344,0.7748091816902161,0.8145303672316383,0.8241758241758241,0.635593220338983,0.7177033492822967,2.9403,"[64, 4]"
40,0.8042024970054626,0.7666666507720947,0.7442747950553894,0.837188088512241,0.8311688311688312,0.5423728813559322,0.6564102564102564,0.3793,[8]
41,0.8194842338562012,0.776190459728241,0.7595419883728027,0.8431909133709979,0.8395061728395061,0.576271186440678,0.6834170854271356,0.7429,[16]
42,0.8108882308006287,0.7571428418159485,0.767175555229187,0.8326565442561205,0.8064516129032258,0.635593220338983,0.7109004739336493,1.1065,[24]
43,0.8213944435119629,0.7904762029647827,0.7595419883728027,0.8403660546139359,0.8481012658227848,0.5677966101694916,0.6802030456852792,1.4702,[32]
44,0.8070678114891052,0.761904776096344,0.7633587718009949,0.832597693032015,0.8043478260869565,0.6271186440677966,0.7047619047619047,1.8338,[40]
45,0.8194842338562012,0.776190459728241,0.7557252049446106,0.8242996704331449,0.8292682926829268,0.576271186440678,0.6799999999999999,2.1974,[48]
46,0.8194842338562012,0.7809523940086365,0.767175555229187,0.828125,0.8607594936708861,0.576271186440678,0.6903553299492386,2.5611,[56]
47,0.8185291290283203,0.776190459728241,0.7519084215164185,0.7993173258003765,0.8732394366197183,0.5254237288135594,0.656084656084656,2.9247,"[64, 2]"
