,train_accuracy,val_accuracy,test_accuracy,area_under_curve,precision,recall,F1,sparsity_score,hidden_layers
0,0.8108882308006287,0.7666666507720947,0.7595419883728027,0.8213571092278719,0.8089887640449438,0.6101694915254238,0.6956521739130436,1.2273,[16]
1,0.7908309698104858,0.7333333492279053,0.7595419883728027,0.8110875706214689,0.7894736842105263,0.635593220338983,0.7042253521126761,0.6136,"[8, 4, 2]"
2,0.8185291290283203,0.7809523940086365,0.7480915784835815,0.8416902071563088,0.8714285714285714,0.5169491525423728,0.648936170212766,1.9545,[32]
3,0.8080229163169861,0.7476190328598022,0.7748091816902161,0.8062323446327685,0.7757009345794392,0.7033898305084746,0.7377777777777778,1.3409,"[24, 12, 6, 3]"
4,0.8175740242004395,0.7857142686843872,0.767175555229187,0.822887241054614,0.8202247191011236,0.6186440677966102,0.7053140096618358,0.8523,"[16, 4]"
5,0.789875864982605,0.7285714149475098,0.767175555229187,0.8235346045197739,0.8064516129032258,0.635593220338983,0.7109004739336493,0.4261,[8]
6,0.820439338684082,0.7857142686843872,0.7633587718009949,0.8396892655367233,0.8181818181818182,0.6101694915254238,0.6990291262135923,2.6818,[48]
7,0.8175740242004395,0.761904776096344,0.7824427485466003,0.8249764595103578,0.8144329896907216,0.6694915254237288,0.7348837209302326,2.0682,"[40, 20, 10, 5, 2]"
8,0.8242598176002502,0.776190459728241,0.7519084215164185,0.7959628060263655,0.8732394366197183,0.5254237288135594,0.656084656084656,1.5795,"[32, 8, 2]"
9,0.813753604888916,0.7714285850524902,0.7748091816902161,0.8107050376647834,0.8105263157894737,0.652542372881356,0.7230046948356808,1.1534,"[24, 3]"
10,0.8118433356285095,0.7666666507720947,0.7633587718009949,0.8388947740112995,0.8589743589743589,0.5677966101694916,0.6836734693877552,0.7585,[16]
11,0.7994269132614136,0.738095223903656,0.7633587718009949,0.8245939265536724,0.7916666666666666,0.6440677966101694,0.7102803738317757,0.3793,[8]
12,0.8185291290283203,0.7809523940086365,0.7595419883728027,0.8332450564971752,0.8313253012048193,0.5847457627118644,0.6865671641791045,3.4091,[64]
13,0.8233046531677246,0.7666666507720947,0.7938931584358215,0.8322445856873825,0.82,0.6949152542372882,0.7522935779816514,2.7955,"[56, 28, 14, 7, 3]"
14,0.820439338684082,0.7666666507720947,0.7557252049446106,0.8348634651600754,0.8461538461538461,0.559322033898305,0.673469387755102,2.3068,"[48, 12, 3]"
15,0.8290353417396545,0.7809523940086365,0.767175555229187,0.8398658192090396,0.8352941176470589,0.6016949152542372,0.6995073891625616,1.8807,"[40, 5]"
16,0.7851002812385559,0.7285714149475098,0.7519084215164185,0.8074387947269304,0.7789473684210526,0.6271186440677966,0.6948356807511737,1.4858,"[32, 2]"
17,0.8051576018333435,0.738095223903656,0.7557252049446106,0.8408957156308849,0.8068181818181818,0.6016949152542372,0.6893203883495145,1.1065,[24]
18,0.8280802369117737,0.7714285850524902,0.7824427485466003,0.8552259887005649,0.8279569892473119,0.652542372881356,0.7298578199052134,3.0341,"[64, 16, 4]"
19,0.8299904465675354,0.7857142686843872,0.7786259651184082,0.8275364877589454,0.8333333333333334,0.635593220338983,0.7211538461538461,2.608,"[56, 7]"
20,0.8233046531677246,0.7857142686843872,0.767175555229187,0.7909604519774012,0.88,0.559322033898305,0.6839378238341969,2.2131,"[48, 3]"
21,0.8156638145446777,0.776190459728241,0.767175555229187,0.8346869114877589,0.8202247191011236,0.6186440677966102,0.7053140096618358,1.8338,[40]
22,0.820439338684082,0.7666666507720947,0.7824427485466003,0.8389536252354048,0.8279569892473119,0.652542372881356,0.7298578199052134,2.9403,"[64, 4]"
23,0.8213944435119629,0.7904762029647827,0.767175555229187,0.8268891242937852,0.8275862068965517,0.6101694915254238,0.702439024390244,2.5611,[56]
